,score,energy,sa_score,rdkit_mol,DFT,smiles,cut_idx,scoring
"(33, 7)",-64.8,-68.58872679157095,0.9450150825726495,<rdkit.Chem.rdchem.Mol object at 0x7f5140d56970>,-30.5,CCCN1CCCC(N)(C2CCCC2)C1,8.0,rdkit_embed_scoring_NH3toN2
"(24, 37)",-74.3,-74.25159643943877,1.0,<rdkit.Chem.rdchem.Mol object at 0x7f51410775b0>,-20.5,NCCCc1ncnc2ccccc12,13.0,rdkit_embed_scoring
"(32, 20)",-69.7,-69.65878390017414,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fb948422230>,-13.4,Nc1ccncc1C=O,1.0,rdkit_embed_scoring_NH3plustoNH3
